Student_ID,Age,Age_Group,Gender,Academic_Level,Country,Relationship_Status,Vulnerable_Group,Most_Used_Platform,Platform_Type,Avg_Daily_Usage_Hours,Usage_Intensity,Usage_Duration_Category,Addicted_Score,Addiction_Level,High_Risk_Addiction,Mental_Health_Score,Mental_Health_Category,Mental_Health_Detail,Sleep_Hours_Per_Night,Sleep_Quality,Sleep_Quality_Detail,Conflicts_Over_Social_Media,Conflict_Level,Academic_Impact_Label
87,19,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Andorra,Berpacaran,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.3,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
88,23,23-25 (Dewasa Muda),Perempuan,Pascasarjana,San Marino,Lajang,Tidak,LinkedIn,Profesional,2.6,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.3,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
89,20,20-22 (Muda),Laki-laki,Sarjana,Vatican City,Rumit,Tidak,YouTube,Video Panjang,4.4,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.0,Kurang,Kurang (5-6h),3,Sedang,Terdampak
90,18,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Liechtenstein,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,5.8,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
91,22,20-22 (Muda),Laki-laki,Pascasarjana,Montenegro,Berpacaran,Tidak,Facebook,Sosial/Komunitas,2.9,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.0,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
92,19,16-19 (Sangat Muda),Perempuan,Sarjana,Albania,Rumit,Ya (Perempuan Muda),TikTok,Video Pendek,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
93,21,20-22 (Muda),Laki-laki,Sarjana,North Macedonia,Lajang,Tidak,Snapchat,Visual/Photo,3.7,Sedang,Penggunaan Rendah (≤4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),6.5,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
94,20,20-22 (Muda),Perempuan,SMA/Sederajat,Kosovo,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
95,23,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Bosnia,Rumit,Tidak,LinkedIn,Profesional,2.4,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.4,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
96,19,16-19 (Sangat Muda),Perempuan,Sarjana,Qatar,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
97,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Kuwait,Berpacaran,Ya (Laki-laki Sangat Muda),Snapchat,Visual/Photo,5.7,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.3,Kurang,Kurang (5-6h),4,Sedang,Terdampak
98,22,20-22 (Muda),Perempuan,Pascasarjana,Bahrain,Rumit,Tidak,LinkedIn,Profesional,2.8,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.1,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
99,20,20-22 (Muda),Laki-laki,Sarjana,Oman,Lajang,Tidak,Instagram,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
100,21,20-22 (Muda),Perempuan,Sarjana,Jordan,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,5.4,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
101,19,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Lebanon,Rumit,Ya (Laki-laki Sangat Muda),YouTube,Video Panjang,5.8,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
102,23,23-25 (Dewasa Muda),Perempuan,Pascasarjana,Iraq,Lajang,Tidak,LinkedIn,Profesional,2.5,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.3,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
103,20,20-22 (Muda),Laki-laki,Sarjana,Yemen,Berpacaran,Tidak,Facebook,Sosial/Komunitas,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
104,18,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Syria,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,5.6,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
105,22,20-22 (Muda),Laki-laki,Pascasarjana,Afghanistan,Rumit,Tidak,LinkedIn,Profesional,2.9,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.0,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
106,19,16-19 (Sangat Muda),Perempuan,Sarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
107,21,20-22 (Muda),Laki-laki,Sarjana,Nepal,Lajang,Tidak,YouTube,Video Panjang,3.8,Sedang,Penggunaan Rendah (≤4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),6.6,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
108,20,20-22 (Muda),Perempuan,SMA/Sederajat,Bhutan,Rumit,Ya (Perempuan Muda),Snapchat,Visual/Photo,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
109,23,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Sri Lanka,Berpacaran,Tidak,LinkedIn,Profesional,2.6,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
110,19,16-19 (Sangat Muda),Perempuan,Sarjana,Maldives,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
111,20,20-22 (Muda),Laki-laki,Sarjana,Bangladesh,Lajang,Tidak,Instagram,Visual/Photo,6.1,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.2,Cukup,Cukup (6-7h),4,Sedang,Terdampak
112,21,20-22 (Muda),Perempuan,Sarjana,India,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,5.8,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
113,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Nepal,Lajang,Ya (Laki-laki Sangat Muda),Facebook,Sosial/Komunitas,4.9,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.1,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
114,22,20-22 (Muda),Perempuan,Pascasarjana,Pakistan,Lajang,Tidak,Instagram,Visual/Photo,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.0,Kurang,Kurang (5-6h),4,Sedang,Terdampak
115,20,20-22 (Muda),Laki-laki,Sarjana,Sri Lanka,Berpacaran,Tidak,TikTok,Video Pendek,5.2,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.3,Cukup,Cukup (6-7h),3,Sedang,Terdampak
116,19,16-19 (Sangat Muda),Perempuan,Sarjana,Maldives,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
117,21,20-22 (Muda),Laki-laki,Pascasarjana,Bangladesh,Berpacaran,Tidak,Facebook,Sosial/Komunitas,6.0,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.8,Kurang,Kurang (5-6h),4,Sedang,Terdampak
118,20,20-22 (Muda),Perempuan,Sarjana,India,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,5.7,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.1,Cukup,Cukup (6-7h),3,Sedang,Terdampak
119,22,20-22 (Muda),Laki-laki,Pascasarjana,Nepal,Lajang,Tidak,TikTok,Video Pendek,4.7,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.3,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
120,19,16-19 (Sangat Muda),Perempuan,Sarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.4,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.2,Cukup,Cukup (6-7h),4,Sedang,Terdampak
121,20,20-22 (Muda),Laki-laki,Sarjana,Sri Lanka,Lajang,Tidak,Facebook,Sosial/Komunitas,5.9,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
122,21,20-22 (Muda),Perempuan,Pascasarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.4,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
123,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Bangladesh,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.3,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.3,Cukup,Cukup (6-7h),4,Sedang,Terdampak
124,22,20-22 (Muda),Perempuan,Pascasarjana,India,Berpacaran,Tidak,Instagram,Visual/Photo,5.8,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
125,20,20-22 (Muda),Laki-laki,Sarjana,Nepal,Lajang,Tidak,Facebook,Sosial/Komunitas,4.5,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.5,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
126,21,20-22 (Muda),Perempuan,Pascasarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.2,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.4,Cukup,Cukup (6-7h),4,Sedang,Terdampak
127,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Sri Lanka,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.7,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
128,20,20-22 (Muda),Perempuan,Sarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.4,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.6,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
129,22,20-22 (Muda),Laki-laki,Pascasarjana,Bangladesh,Lajang,Tidak,Facebook,Sosial/Komunitas,5.1,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.5,Cukup,Cukup (6-7h),4,Sedang,Terdampak
130,21,20-22 (Muda),Perempuan,Pascasarjana,India,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.6,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.6,Kurang,Kurang (5-6h),3,Sedang,Terdampak
131,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Nepal,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.3,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.7,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
132,20,20-22 (Muda),Perempuan,Sarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.0,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.6,Cukup,Cukup (6-7h),4,Sedang,Terdampak
133,22,20-22 (Muda),Laki-laki,Pascasarjana,Sri Lanka,Lajang,Tidak,Facebook,Sosial/Komunitas,5.5,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.5,Kurang,Kurang (5-6h),3,Sedang,Terdampak
134,21,20-22 (Muda),Perempuan,Pascasarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.2,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.8,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
135,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Bangladesh,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.9,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.7,Cukup,Cukup (6-7h),4,Sedang,Terdampak
136,20,20-22 (Muda),Perempuan,Sarjana,India,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.4,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.4,Kurang,Kurang (5-6h),3,Sedang,Terdampak
137,22,20-22 (Muda),Laki-laki,Pascasarjana,Nepal,Lajang,Tidak,Facebook,Sosial/Komunitas,4.1,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.9,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
138,21,20-22 (Muda),Perempuan,Pascasarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.8,Cukup,Cukup (6-7h),4,Sedang,Terdampak
139,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Sri Lanka,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.3,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.3,Kurang,Kurang (5-6h),3,Sedang,Terdampak
140,20,20-22 (Muda),Perempuan,Sarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.0,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),8.0,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
141,22,20-22 (Muda),Laki-laki,Pascasarjana,Bangladesh,Lajang,Tidak,Facebook,Sosial/Komunitas,4.7,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.9,Cukup,Cukup (6-7h),4,Sedang,Terdampak
142,21,20-22 (Muda),Perempuan,Pascasarjana,India,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.2,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.2,Kurang,Kurang (5-6h),3,Sedang,Terdampak
143,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Nepal,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,3.9,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),8.1,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
144,20,20-22 (Muda),Perempuan,Sarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),7.0,Cukup,Cukup (6-7h),4,Sedang,Terdampak
145,22,20-22 (Muda),Laki-laki,Pascasarjana,Sri Lanka,Lajang,Tidak,Facebook,Sosial/Komunitas,5.1,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.1,Kurang,Kurang (5-6h),3,Sedang,Terdampak
146,21,20-22 (Muda),Perempuan,Pascasarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,3.8,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),8.2,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
147,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Bangladesh,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.5,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),7.1,Baik,Baik (7-9h),4,Sedang,Terdampak
148,20,20-22 (Muda),Perempuan,Sarjana,India,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.0,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.0,Kurang,Sangat Kurang (<5h),3,Sedang,Terdampak
149,22,20-22 (Muda),Laki-laki,Pascasarjana,Nepal,Lajang,Tidak,Facebook,Sosial/Komunitas,3.7,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),8.3,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
150,21,20-22 (Muda),Perempuan,Pascasarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.4,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),7.2,Baik,Baik (7-9h),4,Sedang,Terdampak
151,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Sri Lanka,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),4.9,Kurang,Sangat Kurang (<5h),3,Sedang,Terdampak
152,20,20-22 (Muda),Perempuan,Sarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,3.6,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),8.4,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
153,22,20-22 (Muda),Laki-laki,Pascasarjana,Bangladesh,Lajang,Tidak,Facebook,Sosial/Komunitas,4.3,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),7.3,Baik,Baik (7-9h),4,Sedang,Terdampak
154,21,20-22 (Muda),Perempuan,Pascasarjana,India,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),4.8,Kurang,Sangat Kurang (<5h),3,Sedang,Terdampak
155,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Nepal,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,3.5,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),8.5,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
156,20,20-22 (Muda),Perempuan,Sarjana,Pakistan,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.2,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),7.4,Baik,Baik (7-9h),4,Sedang,Terdampak
157,22,20-22 (Muda),Laki-laki,Pascasarjana,Sri Lanka,Lajang,Tidak,Facebook,Sosial/Komunitas,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),4.7,Kurang,Sangat Kurang (<5h),3,Sedang,Terdampak
158,21,20-22 (Muda),Perempuan,Pascasarjana,Maldives,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,3.4,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,8,Baik,Baik (8-10),8.6,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
159,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Bangladesh,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.1,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),7.5,Baik,Baik (7-9h),4,Sedang,Terdampak
160,20,20-22 (Muda),Perempuan,Sarjana,India,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),4.6,Kurang,Sangat Kurang (<5h),3,Sedang,Terdampak
161,19,16-19 (Sangat Muda),Perempuan,Sarjana,Bangladesh,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,5.3,Tinggi,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.1,Cukup,Cukup (6-7h),3,Sedang,Terdampak
162,21,20-22 (Muda),Laki-laki,Pascasarjana,India,Berpacaran,Tidak,Facebook,Sosial/Komunitas,4.8,Sedang,Penggunaan Tinggi (>4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),7.2,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
163,20,20-22 (Muda),Perempuan,Sarjana,Nepal,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),4,Sedang,Terdampak
164,22,20-22 (Muda),Laki-laki,Pascasarjana,Pakistan,Berpacaran,Tidak,Instagram,Visual/Photo,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.3,Cukup,Cukup (6-7h),3,Sedang,Terdampak
165,19,16-19 (Sangat Muda),Perempuan,Sarjana,Sri Lanka,Lajang,Ya (Perempuan Muda),Facebook,Sosial/Komunitas,5.1,Tinggi,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.0,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
166,21,20-22 (Muda),Laki-laki,Pascasarjana,Maldives,Berpacaran,Tidak,TikTok,Video Pendek,5.4,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.0,Kurang,Kurang (5-6h),4,Sedang,Terdampak
167,20,20-22 (Muda),Perempuan,Sarjana,Bangladesh,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.4,Cukup,Cukup (6-7h),3,Sedang,Terdampak
168,22,20-22 (Muda),Laki-laki,Pascasarjana,India,Berpacaran,Tidak,Facebook,Sosial/Komunitas,5.2,Tinggi,Penggunaan Tinggi (>4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),7.1,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
169,19,16-19 (Sangat Muda),Perempuan,Sarjana,Nepal,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,5.6,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),4,Sedang,Terdampak
170,21,20-22 (Muda),Laki-laki,Pascasarjana,Pakistan,Berpacaran,Tidak,Instagram,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.5,Cukup,Cukup (6-7h),3,Sedang,Terdampak
171,20,20-22 (Muda),Perempuan,Sarjana,Sri Lanka,Lajang,Ya (Perempuan Muda),Facebook,Sosial/Komunitas,5.0,Sedang,Penggunaan Tinggi (>4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.3,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
172,22,20-22 (Muda),Laki-laki,Pascasarjana,Maldives,Berpacaran,Tidak,TikTok,Video Pendek,5.3,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),4,Sedang,Terdampak
173,19,16-19 (Sangat Muda),Perempuan,Sarjana,Bangladesh,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.6,Cukup,Cukup (6-7h),3,Sedang,Terdampak
174,21,20-22 (Muda),Laki-laki,Pascasarjana,India,Berpacaran,Tidak,Facebook,Sosial/Komunitas,5.1,Tinggi,Penggunaan Tinggi (>4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),7.4,Baik,Baik (7-9h),2,Rendah,Tidak Terdampak
